head0_head0_trans_x,head0_head0_trans_y,head0_head0_ori_y,head0_head0_ori_w,head0_head1_trans_x,head0_head1_trans_z,head0_head1_ori_y,head0_head2_trans_x,head0_head2_ori_x,head0_AU26,Class_P0,ClassP2
0,0,0,1,0.437455563,-0.15696557,-0.205367418,-0.408800316,-0.285576682,0,TRUE,TRUE
0,0,0,1,-0.918670079,0.528745888,0.20227176,-0.403262782,0.043504602,0,TRUE,TRUE
0,0,0,1,-0.908759841,0.547687253,0.212598318,-0.412534223,0.041125795,0,TRUE,TRUE
0,0,0,1,-0.908759841,0.547687253,0.212598318,-0.412534223,0.041125795,,TRUE,TRUE
0,0,0,1,-0.33247825,0.345611199,0.039879876,-1.061278932,-0.098939973,0,TRUE,TRUE
0,0,0,1,-0.384353001,0.21686611,0.017410775,-0.803116211,-0.015019458,,TRUE,TRUE
0,0,0,1,-0.384353001,0.21686611,0.017410775,-0.803116211,-0.015019458,,TRUE,TRUE
0,0,0,1,0.968457057,0.169623088,-0.246060235,0.642247272,-0.040248927,0,TRUE,TRUE
0,0,0,1,1.065348017,0.270835202,-0.495713704,0.692682266,-0.044050716,0,TRUE,FALSE
0,0,0,1,0.963563764,0.173688397,-0.405959561,0.621915695,0.014802061,1,TRUE,FALSE
0,0,0,1,0.808277184,0.596667652,-0.430433394,0.512259711,0.017793258,0,TRUE,FALSE
0,0,0,1,0.690933318,0.664184256,-0.478430582,0.514296722,0.100215724,0,TRUE,FALSE
0,0,0,1,1.096548865,0.235199759,-0.500471702,0.46219782,-0.015780577,0,TRUE,TRUE
0,0,0,1,0.878003117,0.485986196,-0.337048395,0.485926485,0.026895754,0,TRUE,TRUE
0,0,0,1,0.960202282,-0.078996635,-0.246842183,0.544533197,0.107776512,0,TRUE,TRUE
0,0,0,1,0.89575056,0.326816055,-0.502727451,0.554765328,-0.061807519,0,TRUE,TRUE
0,0,0,1,0.882195954,0.34091994,-0.507336702,0.549804704,-0.019974406,0,TRUE,TRUE
0,0,0,1,0.850512764,0.376439958,-0.345913027,0.460510173,0.019418113,0,TRUE,TRUE
0,0,0,1,0.976984403,0.182673097,-0.304109095,0.472815718,0.027157415,0,TRUE,TRUE
0,0,0,1,0.976984403,0.182673097,-0.304109095,0.472815718,0.027157415,0,TRUE,TRUE
0,0,0,1,0.976984403,0.182673097,-0.304109095,0.472815718,0.027157415,0,TRUE,TRUE
0,0,0,1,0.629886963,-0.093825764,-0.359036218,0.807201267,-0.006090303,0,TRUE,FALSE
0,0,0,1,0.65490845,-0.127937302,-0.371956761,0.825264543,-0.107142234,0,TRUE,FALSE
0,0,0,1,0.660390908,-0.068152593,-0.416169637,0.532914594,0.133879638,0,TRUE,FALSE
0,0,0,1,0.361366231,0.224072144,-0.24536285,0.722276388,-0.049152056,1,TRUE,FALSE
0,0,0,1,0.560659161,0.041798302,-0.316867093,0.932953779,-0.03095236,0,TRUE,FALSE
0,0,0,1,0.529297765,0.116330898,-0.344843048,0.875821266,-0.076773783,0,TRUE,FALSE
0,0,0,1,0.636459819,-0.011644431,-0.315812125,0.875821266,-0.076773783,0,TRUE,FALSE
0,0,0,1,0.473883842,-0.028783752,0.157989504,1.017838798,-0.194867352,0,TRUE,TRUE
0,0,0,1,0.45940522,0.224018497,0.250110569,1.011783388,-0.126560595,0,TRUE,TRUE
0,0,0,1,0.852366842,0.394305371,-0.237235944,0.371108037,0.131500924,0,TRUE,TRUE
0,0,0,1,0.2663625,0.17997062,-0.364291761,-0.030298247,0.491914412,0,FALSE,TRUE
0,0,0,1,0.296319252,0.329086587,-0.367459776,0.061313695,0.4646771,0,FALSE,TRUE
0,0,0,1,0.531516101,-0.042317641,-0.150211881,1.066999641,-0.29114522,0,FALSE,TRUE
0,0,0,1,0.560991141,0.224380351,-0.192861687,1.050885488,-0.361892593,0,FALSE,TRUE
0,0,0,1,0.540840702,0.209027405,-0.247269989,1.050885488,-0.361892593,0,FALSE,TRUE
0,0,0,1,0.540840702,0.209027405,-0.247269989,1.050885488,-0.361892593,1,FALSE,TRUE
0,0,0,1,0.540840702,0.209027405,-0.247269989,1.050885488,-0.361892593,1,TRUE,TRUE
