head1_head0_trans_x,head1_head0_trans_y,,,,,head1_head0_ori_w,head1_head1_trans_x,head1_head1_ori_x,head1_head1_ori_y,head1_head2_trans_z,head1_AU07,,head1_AU09,head1_AU12,ClassP1,Class_P0
1.056800155,-0.099037263,,,,,0.961599677,0,0,0,0.049295017,1,,1,1,FALSE,FALSE
1.056800155,-0.099037263,,,,,0.961599677,0,0,0,-0.501278064,0,,0,0,FALSE,FALSE
1.095930336,-0.176247484,,,,,0.978877163,0,0,0,-0.178319302,0,,0,1,FALSE,FALSE
1.274821388,-0.146202242,,,,,0.987555004,0,0,0,0.203341234,1,,0,1,FALSE,FALSE
0.920009627,-0.208143046,,,,,0.966107974,0,0,0,0.024922853,0,,0,0,FALSE,FALSE
1.004237425,-0.136505884,,,,,0.959355534,0,0,0,0.084612475,1,,1,1,FALSE,FALSE
1.001870258,-0.075186298,,,,,0.949458336,0,0,0,0.033230401,1,,0,1,FALSE,FALSE
1.045104239,-0.183753049,,,,,0.966277393,0,0,0,0.074566528,1,,1,1,FALSE,FALSE
1.03084837,-0.167290885,,,,,0.949806543,0,0,0,0.154912979,1,,1,1,FALSE,FALSE
1.249284715,-0.106706133,,,,,0.911524339,0,0,0,0.669954569,1,,0,0,FALSE,FALSE
0.928781735,-0.299262305,,,,,0.942602993,0,0,0,0.353314167,0,,0,1,FALSE,FALSE
0.931823166,-0.300185746,,,,,0.941728431,0,0,0,0.355284114,0,,0,1,FALSE,FALSE
1.030013792,-0.125891446,,,,,0.930874015,0,0,0,0.051111566,0,,0,0,FALSE,FALSE
1.041980451,-0.096139617,,,,,0.934813426,0,0,0,0.060994652,0,,0,0,FALSE,FALSE
1.028944351,-0.057596665,,,,,0.945031131,0,0,0,0.081701979,1,,0,1,FALSE,FALSE
1.028944351,-0.057596665,,,,,0.945031131,0,0,0,0.081701979,1,,0,1,FALSE,FALSE
1.028944351,-0.057596665,,,,,0.945031131,0,0,0,0.081701979,1,,0,1,FALSE,FALSE
1.028944351,-0.057596665,,,,,0.945031131,0,0,0,0.081701979,,,,,FALSE,FALSE
0.943521024,-0.336329927,,,,,0.921174332,0,0,0,0.318590772,0,,0,1,FALSE,FALSE
0.939484374,-0.306780994,,,,,0.90971311,0,0,0,0.376920065,1,,0,1,FALSE,FALSE
0.902511831,-0.305965701,,,,,0.901307826,0,0,0,0.478626086,1,,0,1,FALSE,FALSE
0.865047423,-0.375508119,,,,,0.879250289,0,0,0,0.463254566,1,,0,1,FALSE,FALSE
1.086648435,-0.343168119,,,,,0.86489225,0,0,0,-0.123038212,0,,0,0,FALSE,FALSE
1.051657985,-0.432976039,,,,,0.854180339,0,0,0,-0.148126198,0,,0,0,FALSE,FALSE
1.141080608,-0.180411287,,,,,0.956645419,0,0,0,0.28727931,1,,0,1,FALSE,FALSE
1.137978559,-0.230737501,,,,,0.957743385,0,0,0,0.289635726,1,,0,1,FALSE,FALSE
1.171296616,-0.202758372,,,,,0.962929296,0,0,0,0.286990791,1,,0,1,FALSE,FALSE
1.17778106,-0.154981805,,,,,0.95773268,0,0,0,0.271566839,1,,0,0,FALSE,FALSE
