head1_head0_trans_x,head1_head0_trans_y,head1_head0_trans_z,head1_head0_ori_x,head1_head0_ori_y,head1_head0_ori_z,head1_head0_ori_w,head1_head1_trans_x,head1_head1_trans_y,head1_head1_trans_z,head1_head1_ori_x,head1_head1_ori_y,head1_head1_ori_z,head1_head1_ori_w,head1_head2_trans_x,head1_head2_trans_y,head1_head2_trans_z,head1_head2_ori_x,head1_head2_ori_y,head1_head2_ori_z,head1_head2_ori_w,head1_emo,head1_AU28,head1_AU45,head1_AU26,head1_AU25,head1_AU01,head1_AU05,head1_AU20,head1_AU06,head1_AU23,head1_AU07,head1_AU02,head1_AU09,head1_AU17,head1_AU10,head1_AU04,head1_AU12,head1_AU14,head1_AU15,head1_pose,ClassP1,Class_P0
-0.876584455,-0.229960871,0.408799681,0.025926886,0.304109095,0.125688258,0.943953345,0,0,0,0,0,0,1,-0.466938475,-0.080318068,0.207932908,0.136632476,-0.300387407,0.130953902,0.934852955,anger,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,other,TRUE,TRUE
-0.876584455,-0.229960871,0.408799681,0.025926886,0.304109095,0.125688258,0.943953345,0,0,0,0,0,0,1,-0.466938475,-0.080318068,0.207932908,0.136632476,-0.300387407,0.130953902,0.934852955,anger,,,,,,,,,,,,,,,,,,,other,TRUE,TRUE
-0.876584455,-0.229960871,0.408799681,0.025926886,0.304109095,0.125688258,0.943953345,0,0,0,0,0,0,1,-0.466938475,-0.080318068,0.207932908,0.136632476,-0.300387407,0.130953902,0.934852955,anger,,,,,,,,,,,,,,,,,,,other,TRUE,TRUE
-0.398956056,-0.060606377,0.49298865,-0.029462265,0.359036218,0.055569026,0.93120194,0,0,0,0,0,0,1,0.385516848,-0.037350301,0.153814325,-0.0231985,-0.241507858,-0.000976446,0.970121039,anger,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,other,TRUE,TRUE
-0.370616409,-0.109957841,0.544180873,-0.02122649,0.371956761,0.09709804,0.922913634,0,0,0,0,0,0,1,0.393270689,-0.035777523,0.145987775,-0.141435763,-0.23719881,-0.070103974,0.958549989,sad,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,other,TRUE,TRUE
-0.337371652,-0.169827445,0.546435789,-0.053448357,0.416169637,0.203173041,0.884684589,0,0,0,0,0,0,1,0.376436923,-0.098176079,0.410926955,0.210788472,-0.251465406,0.123900525,0.936473187,neutual,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,handsOnFace,TRUE,TRUE
-0.426146261,-0.071207101,-0.021849039,-0.133273545,0.24536285,0.140425985,0.949903035,0,0,0,0,0,0,1,0.454415055,-0.022038169,0.032628803,-0.151971326,-0.34457019,-0.084124464,0.922550365,neutual,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,handsOnFace,TRUE,TRUE
-0.473534239,-0.032529082,0.305889439,-0.110376834,0.316867093,0.105316052,0.93612004,0,0,0,0,0,0,1,0.475062273,-0.023114194,-0.009908194,-0.138856444,-0.302066847,-0.085775079,0.939210916,neutual,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,other,TRUE,TRUE
-0.476898231,-0.037235032,0.25470936,-0.024686217,0.344843048,0.040411554,0.937465076,0,0,0,0,0,0,1,0.464780922,-0.026589018,0.007149753,-0.124474129,-0.271131975,-0.079436055,0.951148546,sad,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,other,TRUE,TRUE
-0.50241372,0.002570859,0.390931054,0.035418805,0.315812125,-0.019692061,0.947955924,0,0,0,0,0,0,1,0.464780922,-0.026589018,0.007149753,-0.124474129,-0.271131975,-0.079436055,0.951148546,sad,,,,,,,,,,,,,,,,,,,handsOnFace,TRUE,TRUE
