head0_head0_trans_x,head0_head1_trans_x,head0_head2_trans_x,head0_head2_trans_z,head0_head2_ori_y,head0_head2_ori_w,head0_AU28,head0_AU05,head0_AU20,head0_AU02,Class_P0,ClassP1
0,0.437455563,-0.408800316,0.462957679,0.369782291,0.883706557,0,1,1,1,TRUE,TRUE
0,-0.918670079,-0.403262782,0.149808484,0.002011227,0.996206933,1,1,1,1,TRUE,TRUE
0,-0.908759841,-0.412534223,0.124727276,-0.044307253,0.993199165,0,1,1,1,TRUE,TRUE
0,-0.908759841,-0.412534223,0.124727276,-0.044307253,0.993199165,,,,,TRUE,TRUE
0,-0.33247825,-1.061278932,0.447874697,0.369421443,0.921222459,0,1,0,1,TRUE,TRUE
0,-0.384353001,-0.803116211,0.788403772,0.383181704,0.913212755,,,,,TRUE,TRUE
0,-0.384353001,-0.803116211,0.788403772,0.383181704,0.913212755,,,,,TRUE,TRUE
0,0.968457057,0.642247272,-0.048081239,-0.173666394,0.983946459,0,0,1,0,TRUE,TRUE
0,1.065348017,0.692682266,0.023743687,-0.217977103,0.954901027,0,0,1,0,TRUE,TRUE
0,0.963563764,0.621915695,-0.042303795,0.020400148,0.993325422,0,0,1,1,TRUE,TRUE
0,0.808277184,0.512259711,0.326941965,-0.012295156,0.997206155,0,0,1,0,TRUE,TRUE
0,0.690933318,0.514296722,0.278715791,-0.037088139,0.993781759,0,1,1,1,TRUE,TRUE
0,1.096548865,0.46219782,0.212597225,-0.223730368,0.959265341,1,0,0,1,TRUE,TRUE
0,0.878003117,0.485926485,0.430106504,-0.092818057,0.992354415,0,1,1,1,TRUE,TRUE
0,0.960202282,0.544533197,-0.235532398,-0.143369606,0.935979094,1,0,1,1,TRUE,TRUE
0,0.89575056,0.554765328,0.017826175,-0.300458346,0.91949178,0,1,1,1,TRUE,TRUE
0,0.882195954,0.549804704,0.011752827,-0.468931542,0.862929966,0,1,1,1,TRUE,TRUE
0,0.850512764,0.460510173,0.125759003,-0.591690885,0.805464615,0,0,1,1,TRUE,TRUE
0,0.976984403,0.472815718,0.078531173,-0.581626855,0.811108854,0,0,1,0,TRUE,TRUE
0,0.976984403,0.472815718,0.078531173,-0.581626855,0.811108854,0,0,1,1,TRUE,TRUE
0,0.976984403,0.472815718,0.078531173,-0.581626855,0.811108854,0,0,1,0,TRUE,TRUE
0,0.629886963,0.807201267,0.273047629,-0.571883288,0.817297746,0,0,1,1,TRUE,TRUE
0,0.65490845,0.825264543,0.241923429,-0.560231968,0.792626379,0,0,1,1,TRUE,TRUE
0,0.660390908,0.532914594,0.441213414,-0.66164809,0.737738078,0,0,1,1,TRUE,TRUE
0,0.361366231,0.722276388,0.439327607,-0.521115568,0.800229164,1,1,0,1,TRUE,TRUE
0,0.560659161,0.932953779,0.298588522,-0.556284467,0.789792158,0,0,0,1,TRUE,TRUE
0,0.529297765,0.875821266,0.419379592,-0.575182552,0.798033229,1,0,0,0,TRUE,TRUE
0,0.636459819,0.875821266,0.419379592,-0.575182552,0.798033229,0,0,1,0,TRUE,TRUE
0,0.473883842,1.017838798,-0.270296852,-0.094336295,0.976039577,0,0,1,1,TRUE,TRUE
0,0.45940522,1.011783388,-0.103695282,-0.011049159,0.990022791,0,1,0,1,TRUE,TRUE
0,0.852366842,0.371108037,0.371684731,-0.205379351,0.958928949,1,0,0,1,TRUE,TRUE
0,0.2663625,-0.030298247,0.283254548,-0.37718139,0.683660869,1,1,1,1,FALSE,FALSE
0,0.296319252,0.061313695,0.309832668,-0.390336176,0.718754648,1,1,1,1,FALSE,FALSE
0,0.531516101,1.066999641,0.0539981,-0.030749266,0.940075161,0,1,1,1,FALSE,FALSE
0,0.560991141,1.050885488,0.37447864,-0.049503778,0.901630831,0,0,0,1,FALSE,FALSE
0,0.540840702,1.050885488,0.37447864,-0.049503778,0.901630831,0,1,1,1,FALSE,FALSE
0,0.540840702,1.050885488,0.37447864,-0.049503778,0.901630831,1,0,1,1,FALSE,FALSE
0,0.540840702,1.050885488,0.37447864,-0.049503778,0.901630831,1,1,1,1,TRUE,FALSE
0,0.743459449,0.223411713,1.010097366,-0.333411242,0.937932878,1,0,0,1,FALSE,FALSE
0,0.743459449,0.223411713,1.010097366,-0.333411242,0.937932878,1,1,0,1,FALSE,FALSE
0,0.968102983,0.430093313,-0.16249976,-0.242603631,0.967312605,0,1,1,0,FALSE,FALSE
0,0.99440436,0.449679628,-0.065301813,-0.221239109,0.974049019,1,0,0,1,FALSE,FALSE
0,1.026580295,0.467438466,0.072531135,-0.238049722,0.964933837,1,0,0,1,TRUE,FALSE
0,1.026580295,0.405403659,-0.17750677,-0.276127059,0.896857932,1,0,1,1,FALSE,FALSE
0,1.026580295,0.383610544,-0.303138176,-0.279327232,0.900218432,,,,,FALSE,FALSE
0,-0.901217685,-0.444948293,-0.111880955,-0.05151675,0.99841216,0,1,0,1,FALSE,FALSE
0,-0.417434518,0.454275134,-0.265398217,-0.267195766,0.938270475,0,1,1,1,FALSE,FALSE
0,-0.401934515,0.39116992,-0.522945766,-0.225692071,0.909996393,0,0,1,1,TRUE,FALSE
0,-0.168063513,0.28159165,-0.583313062,-0.094699294,0.870333367,0,0,1,1,FALSE,FALSE
0,-0.216013625,-0.004290402,-0.946600125,-0.055943326,0.93860105,0,1,1,1,FALSE,FALSE
0,-0.481472526,-0.004290402,-0.946600125,-0.055943326,0.93860105,0,0,0,1,FALSE,FALSE
0,-0.496146398,0.359020286,-0.665456711,0.06543008,0.988015265,1,1,1,1,FALSE,FALSE
0,-0.395553226,0.713009443,-0.458424526,-0.168588731,0.947514864,0,0,1,1,FALSE,FALSE
0,-0.47166492,0.60800377,-0.41915797,0.187759671,0.975409309,0,0,1,0,FALSE,FALSE
0,-0.460701768,0.61241061,-0.450475989,0.209236673,0.96968167,0,0,1,0,FALSE,FALSE
0,-0.493991797,0.629880596,-0.296223482,0.106955248,0.990999279,0,0,1,0,FALSE,FALSE
0,-0.465013149,0.631673302,-0.368212446,0.083155559,0.987488633,1,0,0,1,FALSE,FALSE
0,-0.97994368,-0.462349478,0.15858441,0.029442658,0.996303381,1,0,1,1,FALSE,FALSE
0,-0.904518107,-0.427293799,0.210334863,-0.225663521,0.930853394,1,1,0,1,FALSE,FALSE
0,-0.903144148,-0.413030614,-0.085580384,-0.185779802,0.942130513,1,1,1,1,FALSE,FALSE
0,-0.903144148,-0.413030614,-0.085580384,-0.185779802,0.942130513,1,0,0,1,FALSE,FALSE
0,-0.983582517,-0.535798083,0.092263173,-0.169442745,0.985396026,1,0,1,1,FALSE,FALSE
0,-1.108659673,-0.588088485,0.758831677,-0.109995588,0.993353341,1,0,1,1,FALSE,FALSE
0,-0.809979919,-0.534777778,-0.057298871,-0.222862149,0.965488055,0,0,1,1,FALSE,FALSE
0,-1.028263732,-0.606415652,0.113769179,0.15556501,0.973202246,1,1,1,1,FALSE,FALSE
0,-0.996330651,-0.60764669,0.121333127,0.163861775,0.969480733,1,0,0,1,FALSE,FALSE
0,-1.056013218,-0.604840064,0.13127801,0.202408362,0.958404695,1,0,0,0,FALSE,FALSE
0,-1.078275789,-0.593414076,0.1404811,0.189699776,0.963334482,0,0,0,1,FALSE,FALSE
0,-1.32376074,-0.261041637,0.86808992,0.198610286,0.956468226,0,1,0,1,FALSE,FALSE
0,-1.116986162,-0.480747036,0.083455772,0.196271483,0.979124922,1,1,1,1,FALSE,FALSE
0,-1.1213872,-0.480901428,0.085542367,0.188302971,0.979532538,1,1,1,1,FALSE,FALSE
0,-0.9087721,-0.472258691,0.212859715,0.202508027,0.967049496,0,0,1,0,FALSE,FALSE
0,-0.929174452,-0.474023498,0.204837174,0.193501432,0.97228157,0,0,1,0,FALSE,FALSE
0,-0.971546222,-0.480450595,0.06361397,0.15876461,0.944048193,0,0,1,0,FALSE,FALSE
0,-0.971546222,-0.466610937,0.07632003,0.219127677,0.895608546,1,0,0,1,FALSE,FALSE
0,-0.971546222,-0.367270329,0.158575455,0.049149424,0.82969312,1,1,1,1,FALSE,FALSE
0,-0.971546222,-0.403241102,-0.092407735,0.053705099,0.762507055,0,0,1,0,FALSE,FALSE
0,-1.224315221,-0.555001624,-0.052495673,0.016460678,0.971536015,0,0,1,1,FALSE,FALSE
0,-1.206100292,-0.534660221,0.043140248,0.173498528,0.980950043,0,0,1,1,FALSE,FALSE
0,-1.205529796,-0.493055791,0.11065595,0.236093086,0.96870549,1,0,1,1,FALSE,FALSE
